"","Latitude","Longitude","Cal BP(Maximun probability)","error(yr)","R","sdR","pair","reference","obs","period","label"
"47","-31.9","-71.5","11468","143.5","-50.93","299.26","14","Carre et al. 2016","strickly relationship","EH","-31.9/11468/-71.5"
"48","-13.9554","-76.2667","8","2.5","161.69","98.25","1","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"49","-13.9554","-76.2667","8","2.5","230.1","127.01","2","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"50","-13.9554","-76.2667","8","2.5","149.44","96.4","3","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"51","-13.9554","-76.2667","8","2.5","155.43","93.29","4","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"52","-13.9554","-76.2667","8","2.5","176.77","105.29","5","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"53","-13.9554","-76.2667","8","2.5","158.99","96.42","6","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"54","-13.9554","-76.2667","8","2.5","217.73","120.34","7","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"55","-13.9554","-76.2667","8","2.5","164.61","99.94","8","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"56","-13.9554","-76.2667","8","2.5","160.7","97.55","9","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"57","-13.9554","-76.2667","8","2.5","158.68","96.09","10","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"58","-13.9554","-76.2667","8","2.5","154.85","92.3","11","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"59","-13.9554","-76.2667","8","2.5","213.22","125.41","12","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"60","-13.9554","-76.2667","8","2.5","144.63","101.47","13","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"61","-13.9554","-76.2667","8","2.5","164.72","99.96","14","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"62","-13.9554","-76.2667","8","2.5","218.77","129.93","15","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"63","-13.9554","-76.2667","8","2.5","163.8","99.33","16","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"64","-13.9554","-76.2667","8","2.5","158.66","96.11","17","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"65","-13.9554","-76.2667","8","2.5","142.89","98.78","18","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"66","-13.9554","-76.2667","8","2.5","155","92.31","19","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"67","-13.9554","-76.2667","8","2.5","250.02","136.8","20","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"68","-13.9554","-76.2667","8","2.5","197.9","122.8","21","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"69","-13.9554","-76.2667","8","2.5","214.08","135.75","22","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"70","-13.9554","-76.2667","8","2.5","157.67","95.35","23","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"71","-13.9554","-76.2667","8","2.5","157.6","95.39","24","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"72","-13.9554","-76.2667","8","2.5","164.22","100.61","25","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"73","-13.9554","-76.2667","8","2.5","218.96","121.06","26","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"74","-13.9554","-76.2667","8","2.5","227.64","137.83","27","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"75","-13.9554","-76.2667","8","2.5","260.16","175.03","28","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"76","-13.9554","-76.2667","8","2.5","153.36","98.47","29","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"77","-13.9554","-76.2667","8","2.5","163.74","99.36","30","Etayo et al.2019","reliable date","CWP","-13.9554/8/-76.2667"
"78","-8.2373","-78.9662","30","2.5","135.28","95.89","31","Etayo et al.2019","reliable date","CWP","-8.2373/30/-78.9662"
"79","-8.2373","-78.9662","30","2.5","193.29","119.43","32","Etayo et al.2019","reliable date","CWP","-8.2373/30/-78.9662"
"80","-8.2373","-78.9662","30","2.5","213.96","130.31","33","Etayo et al.2019","reliable date","CWP","-8.2373/30/-78.9662"
"81","-8.2373","-78.9662","30","2.5","185.1","129.76","34","Etayo et al.2019","reliable date","CWP","-8.2373/30/-78.9662"
"82","-8.2373","-78.9662","30","2.5","193.29","119.57","35","Etayo et al.2019","reliable date","CWP","-8.2373/30/-78.9662"
"83","-8.2373","-78.9662","30","2.5","187.63","117.02","36","Etayo et al.2019","reliable date","CWP","-8.2373/30/-78.9662"
"84","-8.2373","-78.9662","30","2.5","211.13","129.11","37","Etayo et al.2019","reliable date","CWP","-8.2373/30/-78.9662"
"85","-8.2373","-78.9662","30","2.5","221.96","133.87","38","Etayo et al.2019","reliable date","CWP","-8.2373/30/-78.9662"
"86","-8.2373","-78.9662","30","2.5","134.39","94.33","39","Etayo et al.2019","reliable date","CWP","-8.2373/30/-78.9662"
"87","-8.2373","-78.9662","30","2.5","212.31","132.99","40","Etayo et al.2019","reliable date","CWP","-8.2373/30/-78.9662"
"88","-4.6449","-81.3264","26","2.5","143.72","98.23","41","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
"89","-4.6449","-81.3264","26","2.5","137.19","93.01","42","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
"90","-4.6449","-81.3264","26","2.5","137.11","93.06","43","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
