Latitude;Longitude;pairs;calibrate curve;type of material;Convencial age;SD convencial age;reference;obs;period time
-53.6127;-70.9559;30;marine;Fisurella cumingi;505;20;Merino-Campos et al. 2019;reliable date;CWP
-54.0667;-71.0054;30;terrestrial;collected date;1.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-54.317;-69.5;31;marine;Nacella deaurata;530;20;Merino-Campos et al. 2019;reliable date;CWP
-54.317;-69.5;31;terrestrial;collected date;0.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-54.433;-70.433;32;marine;Nacella magellanica;530;20;Merino-Campos et al. 2019;reliable date;CWP
-54.433;-70.433;32;terrestrial;collected date;1.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-54.9747;-71.1044;33;marine;Scurria zebrina;505;20;Merino-Campos et al. 2019;reliable date;CWP
-54.9747;-71.1044;33;terrestrial;collected date;1.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-29.9516;-71.3491;1;marine;marine shell;605;25;Carre et al. 2016;reliable date;CWP
-29.9516;-71.3491;1;normal;collected date;118.5;0.25;Carre et al. 2016;reliable date;CWP
-31.9;-71.5;2;marine;marine shell;3560;35;Carre et al. 2016;strickly relationship;CWP-LH
-31.9;-71.5;2;terrestrial;charcoal;3090;40;Carre et al. 2016;strickly relationship;CWP-LH
-31.9;-71.5;3;marine;marine shell;6350;40;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;3;terrestrial;charcoal;6000;40;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;4;marine;marine shell;8125;30;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;4;terrestrial;charcoal;7780;35;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;5;marine;marine shell;8125;30;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;5;terrestrial;charcoal;7880;25;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;6;marine;marine shell;9100;40;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;6;terrestrial;charcoal;8690;50;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;7;marine;marine shell;9100;40;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;7;terrestrial;charcoal;8620;110;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;8;marine;marine shell;9310;50;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;8;terrestrial;charcoal;9190;45;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;9;marine;marine shell;9310;50;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;9;terrestrial;charcoal;9190;130;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;10;marine;marine shell;10360;50;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;10;terrestrial;charcoal;9790;40;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;11;marine;marine shell;10640;60;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;11;terrestrial;charcoal;9790;40;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;12;marine;marine shell;10180;70;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;12;terrestrial;terrestrial shell;9890;30;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;13;marine;marine shell;10400;50;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;13;terrestrial;charcoal;10050;50;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;14;marine;marine shell;10400;50;Carre et al. 2016;strickly relationship;EH
-31.9;-71.5;14;terrestrial;charcoal;10050;55;Carre et al. 2016;strickly relationship;EH
-13.9554;-76.2667;1;marine;Protothaca asperrima;553;40;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;1;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;2;marine;Protothaca asperrima;564;65;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;2;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;3;marine;Protothaca asperrima;612;32;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;3;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;4;marine;Protothaca asperrima;567;32;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;4;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;5;marine;Protothaca asperrima;533;44;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;5;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;6;marine;Protothaca asperrima;547;38;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;6;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;7;marine;Protothaca asperrima;514;54;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;7;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;8;marine;Protothaca asperrima;511;42;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;8;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;9;marine;Protothaca asperrima;479;39;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;9;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;10;marine;Protothaca asperrima;482;37;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;10;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;11;marine;Protothaca asperrima;542;29;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;11;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;12;marine;Protothaca asperrima;614;53;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;12;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
