Latitude;Longitude;pairs;calibrate curve;type of material;Convencial age;SD convencial age;reference;obs;period time
-5.75;-81;9;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-5.75;-81;10;marine;Argopecten purpuratus;703;54;Jones et al. 2007;strickly relationship;CWP
-5.75;-81;10;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-5.75;-81;11;marine;Argopecten purpuratus;636;35;Jones et al. 2007;strickly relationship;CWP
-5.75;-81;11;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-5.75;-81;12;marine;Argopecten purpuratus;662;32;Jones et al. 2007;strickly relationship;CWP
-5.75;-81;12;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;13;marine;Argopecten purpuratus;496;82;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;13;normal;collected date;29.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;14;marine;Argopecten purpuratus;646;45;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;14;normal;collected date;29.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;15;marine;Argopecten purpuratus;666;42;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;15;normal;collected date;29.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;16;marine;Argopecten purpuratus;668;55;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;16;normal;collected date;29.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;17;marine;Argopecten purpuratus;712;50;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;17;normal;collected date;29.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;18;marine;Argopecten purpuratus;600;44;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;18;normal;collected date;29.5;0.25;Jones et al. 2007;strickly relationship;CWP
-8.23;-79;19;marine;Argopecten purpuratus;552;50;Jones et al. 2007;strickly relationship;CWP
-8.23;-79;19;normal;collected date;29.5;0.25;Jones et al. 2007;strickly relationship;CWP
-8.23;-79;20;marine;Argopecten purpuratus;589;49;Jones et al. 2007;strickly relationship;CWP
-8.23;-79;20;normal;collected date;29.5;0.25;Jones et al. 2007;strickly relationship;CWP
-8.23;-79;21;marine;Argopecten purpuratus;670;36;Jones et al. 2007;strickly relationship;CWP
-8.23;-79;21;normal;collected date;29.5;0.25;Jones et al. 2007;strickly relationship;CWP
-8.23;-79;22;marine;Argopecten purpuratus;617;36;Jones et al. 2007;strickly relationship;CWP
-8.23;-79;22;normal;collected date;29.5;0.25;Jones et al. 2007;strickly relationship;CWP
-18.04;-70.83;1;marine;shell;8315;60;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;1;normal;organic material 14C;8040;105;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;2;marine;shell;6845;30;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;2;normal;charcoal;6630;70;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;3;marine;shell;7310;50;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;3;normal;organic material 14C;7320;80;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;4;marine;shell;7095;50;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;4;normal;organic material 14C;6940;60;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;5;marine;shell;6110;80;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;5;normal;charcoal;6460;60;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;6;marine;shell;6110;80;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;6;normal;charcoal;6510;60;Fontugne et al. 2004;not relationship;EH
-18.04;-70.83;7;marine;shell;8860;130;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;7;normal;organic material 14C;8160;70;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;8;marine;shell;8780;70;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;8;normal;organic material 14C;8040;105;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;9;marine;shell;4445;40;Fontugne et al. 2004;strickly relationship;MH
-18.04;-70.83;9;normal;organic material 14C;3700;40;Fontugne et al. 2004;strickly relationship;LH
-18.04;-70.83;10;marine;shell;7070;80;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;10;normal;charcoal;6090;80;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;11;marine;shell;7480;80;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;11;normal;charcoal;6560;90;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;12;marine;shell;8125;30;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;12;normal;organic material 14C;7390;50;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;13;marine;shell;7160;80;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;13;normal;organic material 14C;6595;75;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;14;marine;shell;3595;90;Fontugne et al. 2004;strickly relationship;LH
-18.04;-70.83;14;normal;charcoal;3120;80;Fontugne et al. 2004;strickly relationship;LH
-18.04;-70.83;15;marine;shell;7790;120;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;15;normal;charcoal;6500;80;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;16;marine;shell;1050;30;Fontugne et al. 2004;strickly relationship;CWP-LH
-18.04;-70.83;16;normal;wood;375;30;Fontugne et al. 2004;strickly relationship;CWP-LH
-18.04;-70.83;17;marine;shell;6640;50;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;17;normal;charcoal;6090;110;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;18;marine;shell;9725;90;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;18;normal;organic material 14C;8650;70;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;19;marine;shell;7880;90;Fontugne et al. 2004;strickly relationship;EH
-18.04;-70.83;19;normal;charcoal;7360;100;Fontugne et al. 2004;strickly relationship;EH
-17.6;-71.23;1;marine;Choromitykus chorus ;1358;46;Owen 2002;strickly relationship;CWP-LH
-17.6;-71.23;1;terrestrial;Schinus molle;730;60;Owen 2002;strickly relationship;CWP-LH
-17.6;-71.23;2;marine;Choromitykus chorus ;1428;56;Owen 2002;strickly relationship;CWP-LH
-17.6;-71.23;2;terrestrial;Schinus molle;701;38;Owen 2002;strickly relationship;CWP-LH
-17.6;-71.23;3;marine;Choromitykus chorus ;1530;40;Owen 2002;strickly relationship;CWP-LH
-17.6;-71.23;3;terrestrial;Schinus molle;662;34;Owen 2002;strickly relationship;CWP-LH
-17.6;-71.23;4;marine;Choromitykus chorus ;3961;47;Owen 2002;strickly relationship;CWP-LH
-17.6;-71.23;4;terrestrial;Schinus molle;3439;43;Owen 2002;strickly relationship;CWP-LH
-17.53;-71.35;1;marine;concholepas concholepas;5050;60;Kennett et al. 2002;strickly relationship;MH
-17.53;-71.35;1;terrestrial;charcoal;4620;60;Kennett et al. 2002;strickly relationship;MH
-17.53;-71.35;2;marine;concholepas concholepas;4950;70;Kennett et al. 2002;strickly relationship;MH
-17.53;-71.35;2;terrestrial;charcoal;4530;80;Kennett et al. 2002;strickly relationship;MH
-33.1;-71.8;1;marine;marine shell;520;50;Ingram&Southon 1996;strickly relationship;CWP
-33.1;-71.8;1;normal;collected date;16.5;0.25;Ingram&Southon 1996;strickly relationship;CWP
-53.181;-70.9223;2;marine;Mytilus sp;680;40;Ingram&Southon 1996;strickly relationship;CWP
-53.181;-70.9223;2;terrestrial;collected date;16.5;0.25;Ingram&Southon 1996;strickly relationship;CWP
0;-90;1;marine;Fasciolaria Princeps;468;43;Taylor & Berger 1967;strickly relationship;CWP
0;-90;1;normal;collected date;21.5;0.25;Taylor & Berger 1967;strickly relationship;CWP
0;-90;2;marine;Nerita scabricosta;443;40;Taylor & Berger 1967;strickly relationship;CWP
0;-90;2;normal;collected date;23.5;0.25;Taylor & Berger 1967;strickly relationship;CWP
-10;-80;3;marine;organic material 14C;700;49;Taylor & Berger 1967;strickly relationship;CWP
-10;-80;3;normal;collected date;20.5;0.25;Taylor & Berger 1967;strickly relationship;CWP
-14;-78;4;marine;organic material 14C;1127;44;Taylor & Berger 1967;strickly relationship;CWP
-14;-78;4;normal;collected date;20.5;0.25;Taylor & Berger 1967;strickly relationship;CWP
-24;-70;5;marine;concholepas concholepas;626;34;Taylor & Berger 1967;strickly relationship;CWP
-24;-70;5;terrestrial;collected date;25.5;0.25;Taylor & Berger 1967;strickly relationship;CWP
-33;-72;6;marine;marine shell;770;76;Taylor & Berger 1967;strickly relationship;CWP
-33;-72;6;normal;collected date;20.5;0.25;Taylor & Berger 1967;strickly relationship;CWP
-23.0329;-70.45425;1;marine;organic material 14C;825;30;Guiñez et al.2014;strickly relationship;CWP
-23.0329;-70.45425;1;normal;organic material 210Pb;63;3;Guiñez et al.2014;strickly relationship;CWP
-23.0329;-70.45425;2;marine;organic material 14C;845;30;Guiñez et al.2014;strickly relationship;CWP
-23.0329;-70.45425;2;normal;organic material 210Pb;33;3;Guiñez et al.2014;strickly relationship;CWP
-23.0329;-70.45425;3;marine;organic material 14C;865;30;Guiñez et al.2014;strickly relationship;CWP
-23.0329;-70.45425;3;normal;organic material 210Pb;112;11;Guiñez et al.2014;strickly relationship;CWP
-23.0329;-70.45425;4;marine;organic material 14C;925;30;Guiñez et al.2014;strickly relationship;CWP
-23.0329;-70.45425;4;normal;organic material 210Pb;54;4;Guiñez et al.2014;strickly relationship;CWP
